Instance,datetime,WS,WD,TMP,RH
CHI2015,18-02-2014 17:00,12.96,315,31.100000381469727,41.0
CHI2015,18-02-2014 18:00,12.96,315,31.799999237060547,38.8
CHI2015,18-02-2014 19:00,9.72,315,28.299999237060547,59.2
CHI2015,18-02-2014 20:00,6.48,315,33.20000076293945,31.6
CHI2015,18-02-2014 21:00,6.48,315,28.200000762939453,47.4
CHI2015,18-02-2014 22:00,9.72,315,30.100000381469727,43.6
CHI2015,18-02-2014 23:00,9.72,315,30.799999237060547,54.4
CHI2015,19-02-2014 0:00,7.2,326,31.700000762939453,38.2
CHI2015,19-02-2014 1:00,7.92,337,30.299999237060547,42.8
CHI2015,19-02-2014 2:00,3.24,337,30.200000762939453,49.8
CHI2015,19-02-2014 3:00,4.68,337,28.200000762939453,47.4
CHI2015,19-02-2014 4:00,7.92,315,29.600000381469727,46.6
CHI2015,19-02-2014 5:00,7.92,315,35.400001525878906,32.2
CHI2015,19-02-2014 6:00,4.68,292,31.100000381469727,41.0
CHI2015,19-02-2014 7:00,3.24,270,28.200000762939453,57.2
CHI2015,19-02-2014 8:00,3.24,270,29.299999237060547,54.0
CHI2015,19-02-2014 9:00,4.68,315,28.200000762939453,67.6
CHI2015,19-02-2014 10:00,4.68,315,31.600000381469727,39.0
CHI2015,19-02-2014 11:00,7.92,337,30.399999618530273,39.2
CHI2015,19-02-2014 12:00,14.4,337,31.799999237060547,38.8
CHI2015,19-02-2014 13:00,14.4,337,29.600000381469727,46.6
CHI2015,19-02-2014 14:00,16.2,315,29.200000762939453,37.0
CHI2015,19-02-2014 15:00,16.2,315,28.299999237060547,57.6
CHI2015,19-02-2014 16:00,16.2,337,29.299999237060547,54.0
CHI2015,19-02-2014 17:00,17.64,337,32.0,45.0
CHI2015,19-02-2014 18:00,14.4,315,28.200000762939453,67.6
CHI2015,19-02-2014 19:00,14.4,337,28.700000762939453,67.0
CHI2015,19-02-2014 20:00,11.16,337,31.399999618530273,39.0
CHI2015,19-02-2014 21:00,9.72,292,28.200000762939453,67.6
CHI2015,19-02-2014 22:00,4.68,225,30.100000381469727,43.6
CHI2015,19-02-2014 23:00,4.68,135,29.5,51.6
CHI2015,20-02-2014 0:00,6.48,157,30.0,44.0
CHI2015,20-02-2014 1:00,9.72,157,29.200000762939453,41.0
CHI2015,20-02-2014 2:00,7.92,157,31.600000381469727,39.0
CHI2015,20-02-2014 3:00,7.92,157,29.100000381469727,44.0
CHI2015,20-02-2014 4:00,6.48,157,31.600000381469727,37.6
CHI2015,20-02-2014 5:00,6.48,157,33.29999923706055,40.6
CHI2015,20-02-2014 6:00,6.48,157,28.899999618530273,52.6
CHI2015,20-02-2014 7:00,6.48,157,32.0,45.0
CHI2015,20-02-2014 8:00,6.48,157,29.100000381469727,47.0
CHI2015,20-02-2014 9:00,6.48,157,31.399999618530273,39.0
CHI2015,20-02-2014 10:00,6.48,157,29.200000762939453,37.0
CHI2015,20-02-2014 11:00,6.48,157,28.700000762939453,26.2
CHI2015,20-02-2014 12:00,6.48,157,28.700000762939453,67.0
CHI2015,20-02-2014 13:00,6.48,157,28.399999618530273,60.6
CHI2015,20-02-2014 14:00,6.48,157,30.0,44.8
CHI2015,20-02-2014 15:00,6.48,157,28.200000762939453,47.4
CHI2015,20-02-2014 16:00,6.48,157,28.100000381469727,58.2
CHI2015,20-02-2014 17:00,6.48,157,31.799999237060547,34.2
CHI2015,20-02-2014 18:00,6.48,157,29.700000762939453,52.4
CHI2015,20-02-2014 19:00,6.48,157,29.600000381469727,46.6
CHI2015,20-02-2014 20:00,6.48,157,30.0,44.0
CHI2015,20-02-2014 21:00,6.48,157,28.200000762939453,47.4
