Scenario,datetime,WS,WD,FireScenario
test,2007-03-09,10,90,1
test,2007-03-09,10,90,1
test,2007-03-09,10,90,1
test,2007-03-09,10,90,1
test,2007-03-09,10,90,1
test,2007-03-09,10,90,1
test,2007-03-09,10,90,1
test,2007-03-09,10,90,1
test,2007-03-09,10,90,1
test,2007-03-09,10,90,1
test,2007-03-09,10,90,1
test,2007-03-09,10,90,1
test,2007-03-09,10,90,1
test,2007-03-09,10,90,1
test,2007-03-09,10,90,1
test,2007-03-09,10,90,1
test,2007-03-09,10,90,1
test,2007-03-09,10,90,1
test,2007-03-09,10,90,1
test,2007-03-09,10,90,1
test,2007-03-09,10,90,1
test,2007-03-09,10,90,1
test,2007-03-09,10,90,1
test,2007-03-09,10,90,1
